event_id,start_date,end_date,peak_date,duration_days,intensity_max,intensity_mean,intensity_cumulative,intensity_norm_max,category,year,start_month
73,2020-07-01,2020-07-05,2020-07-02,5,0.35482813636363986,0.15851989454545573,0.7925994727272787,1.315119328175725,Moderate,2020,7
74,2020-07-31,2020-08-05,2020-08-02,6,0.6212061181818171,0.266264562121212,1.597587372727272,1.4849889202855604,Moderate,2020,7
75,2020-09-04,2020-09-28,2020-09-18,25,1.2519579818181796,0.7073107527272725,17.682768818181813,3.7082816488004986,Severe,2020,9
76,2021-02-04,2021-04-08,2021-04-02,64,0.9390290409090927,0.37300883678977315,23.87256555454548,2.9470399000395955,Strong,2021,2
77,2021-06-16,2021-07-01,2021-06-17,16,0.7128621181818176,0.19655755965909139,3.144920954545462,1.527636901225044,Moderate,2021,6
78,2021-08-15,2021-08-19,2021-08-16,5,0.3381904272727283,0.14128837454545576,0.7064418727272788,1.257860273497252,Moderate,2021,8
79,2021-09-17,2021-09-23,2021-09-21,7,0.4198302636363671,0.23232321558441577,1.6262625090909104,1.9266293966903343,Moderate,2021,9
80,2021-09-25,2021-10-08,2021-09-30,14,0.2780698000000008,0.13224797077922013,1.8514715909090818,1.429483803419316,Moderate,2021,9
81,2021-12-29,2022-01-07,2022-01-02,10,0.1336384272727269,0.06705622272727255,0.6705622272727254,1.2106787179529466,Moderate,2021,12
82,2022-02-07,2022-03-12,2022-02-23,34,0.5698073909090926,0.2202593850267385,7.488819090909109,2.3246928738204975,Strong,2022,2
83,2022-05-15,2022-08-11,2022-07-22,89,2.396023818181817,1.1547013826353427,102.7684230545455,2.652490299631644,Strong,2022,5
84,2022-09-04,2022-09-29,2022-09-16,26,1.390049072727269,0.8006941954545452,20.818049081818177,3.5003540500292196,Severe,2022,9
85,2022-10-12,2022-12-04,2022-11-03,54,1.292383390909091,0.7953947572390574,42.9513168909091,2.720039992654666,Strong,2022,10
86,2022-12-06,2022-12-10,2022-12-07,5,0.05217402727272713,0.02270359818181831,0.11351799090909154,1.0749929107070002,Moderate,2022,12
87,2022-12-22,2023-02-08,2023-01-02,49,0.8757244272727274,0.4547624280148424,22.283358972727278,2.3818382352389067,Strong,2022,12
88,2023-02-19,2023-03-02,2023-02-25,12,0.5373828090909072,0.2959254549242429,3.5511054590909144,2.2023580510188507,Strong,2023,2
89,2023-03-05,2023-04-06,2023-03-26,33,0.8355073454545447,0.45376010798898087,14.974083563636368,2.750326103807011,Strong,2023,3
90,2023-05-07,2023-05-12,2023-05-09,6,0.2000306272727279,0.09606854393939379,0.5764112636363627,1.2217284680205636,Moderate,2023,5
91,2023-06-08,2023-06-22,2023-06-18,15,0.6970672727272742,0.38097739090909144,5.714660863636372,1.5437098236935403,Moderate,2023,6
92,2023-06-27,2023-08-07,2023-07-23,42,2.273506872727271,1.0118685000000003,42.49847700000001,2.6377451156252616,Strong,2023,6
93,2023-08-24,2023-08-29,2023-08-26,6,0.6012550272727246,0.268387878787878,1.6103272727272682,1.3794341105461538,Moderate,2023,8
94,2023-09-12,2023-12-04,2023-10-15,84,1.5921499181818177,0.7564752309523807,63.54391939999998,3.2337195613103247,Severe,2023,9
95,2023-12-23,2024-04-28,2024-04-15,128,1.9724073090909133,0.8231178177556822,105.35908067272732,4.4285046912505255,Extreme,2023,12
96,2024-05-14,2024-05-22,2024-05-19,9,0.37118432727272577,0.15138070909090948,1.3624263818181852,1.3718435958269384,Moderate,2024,5
97,2024-07-13,2024-09-18,2024-08-14,68,2.6040302636363677,1.0261784910427807,69.78013739090909,3.5557725592326093,Severe,2024,7
98,2024-10-20,2024-12-12,2024-11-05,54,0.9297180181818163,0.44187083653198655,23.861025172727274,2.14414723713443,Strong,2024,10
99,2025-01-07,2025-01-17,2025-01-09,11,0.3581522272727291,0.19192456239669428,2.111170186363637,1.508283633805499,Moderate,2025,1
100,2025-01-25,2025-05-21,2025-05-03,117,1.5109727363636338,0.683206953846154,79.93521360000003,3.36711321283173,Severe,2025,1
101,2025-06-02,2025-07-12,2025-07-06,41,2.8570350545454595,0.9718268638580935,39.844901418181834,4.063390377374041,Extreme,2025,6
102,2025-07-19,2025-07-26,2025-07-21,8,0.24274378181818435,0.10910387386363629,0.8728309909090903,1.1732789865288595,Moderate,2025,7
103,2025-08-13,2025-08-22,2025-08-18,10,0.6830706272727305,0.4205570236363645,4.205570236363645,1.489670461805804,Moderate,2025,8
104,2025-09-06,2025-10-03,2025-09-23,28,1.2036866181818127,0.5282148233766232,14.79001505454545,3.7094297376167638,Severe,2025,9
105,2025-11-14,2025-11-25,2025-11-18,12,0.27696043636363754,0.11781627348484906,1.4137952818181887,1.3958616041135268,Moderate,2025,11
106,2025-12-20,2026-05-11,2026-04-21,143,1.8159610636363634,0.7668432940877309,109.65859105454551,4.082968098841132,Extreme,2025,12
107,2026-05-28,2026-06-30,2026-06-02,34,1.5088259090909055,0.7491801366310166,25.472124645454564,2.209911560488652,Strong,2026,5
