Datetime,mhw_days,mhw_peak_intensity,mhw_cum_intensity,anomaly_mean
2005-10-01,0,0.0,0.0,-0.2730297302052785
2005-11-01,15,0.2421101727272692,1.5810176272727254,0.6363705606060607
2005-12-01,0,0.0,0.0,-0.4032443775171068
2006-01-01,0,0.0,0.0,-0.5887024756109477
2006-02-01,0,0.0,0.0,-0.5460704340909092
2006-03-01,0,0.0,0.0,-0.5540624148093839
2006-04-01,0,0.0,0.0,-0.22435823363636367
2006-05-01,0,0.0,0.0,-0.0515706623167152
2006-06-01,0,0.0,0.0,-1.2813897648484847
2006-07-01,12,0.6784694636363646,4.208822363636372,1.1108380208211137
2006-08-01,5,0.9538161727272723,2.012994999999993,-0.4721222290322584
2006-09-01,0,0.0,0.0,-0.6622843860606057
2006-10-01,14,0.6327020909090884,2.705547845454543,0.49841478592375377
2006-11-01,27,0.6677156090909087,5.700592881818171,1.0359362606060603
2006-12-01,31,0.9046321272727287,17.12479891818184,1.4926703321603125
2007-01-01,21,1.0228358681818186,11.632601945454548,1.0331351695503423
2007-02-01,28,1.1848028272727262,17.090852540909097,1.3485682087662336
2007-03-01,29,0.6738286772727253,9.613400095454548,0.9440542464809387
2007-04-01,20,1.8835201272727247,19.861066672727276,1.3404245663636363
2007-05-01,29,1.278448836363637,16.558285109090914,1.5363803054252203
2007-06-01,0,0.0,0.0,-0.40671339818181795
2007-07-01,0,0.0,0.0,-0.9319417211143697
2007-08-01,0,0.0,0.0,-1.305147648387097
2007-09-01,0,0.0,0.0,-0.8823359193939396
2007-10-01,0,0.0,0.0,-0.4535144721407625
2007-11-01,0,0.0,0.0,-0.5462613060606061
2007-12-01,0,0.0,0.0,-0.6262149742913004
2008-01-01,0,0.0,0.0,-0.4790609433528836
2008-02-01,0,0.0,0.0,0.10118455626959254
2008-03-01,0,0.0,0.0,-0.13771504134897336
2008-04-01,0,0.0,0.0,-0.49647590303030303
2008-05-01,0,0.0,0.0,-0.4307728467741933
2008-06-01,0,0.0,0.0,-0.6360445784848483
2008-07-01,7,0.3209508727272734,0.790247018181816,-0.01485782727272789
2008-08-01,0,0.0028592727272780394,0.0028592727272780394,0.4730801956011729
2008-09-01,7,0.13767822727272616,0.3655766727272649,0.26386063848484853
2008-10-01,0,0.0,0.0,-0.5429362304985336
2008-11-01,0,0.06064471818181971,0.07044690909091145,0.37678265272727246
2008-12-01,0,0.0,0.0,-0.24841093665689165
2009-01-01,0,0.0,0.0,-0.03655273367546414
2009-02-01,4,0.3958407000000008,1.0357442954545455,0.12449242305194794
2009-03-01,8,0.09904275000000062,0.23665173181818133,0.2924685206744873
2009-04-01,0,0.07818548181818308,0.07818548181818308,0.22077669969696945
2009-05-01,8,1.0896280999999988,4.024119772727275,0.6198960151026397
2009-06-01,1,0.07608933636363702,0.07608933636363702,0.23117776848484867
2009-07-01,0,0.0,0.0,-0.47226117272727286
2009-08-01,10,0.2554754545454543,0.8497978181818198,0.7991427064516123
2009-09-01,23,0.42340891818181703,4.81354302727274,0.7126886806060609
2009-10-01,28,0.5389109363636351,7.238307100000007,0.822024366568915
2009-11-01,4,0.18468991818181735,0.19170791818181598,-0.1850276393939397
2009-12-01,0,0.0,0.0,-0.34219661945259067
2010-01-01,0,0.0,0.0,-0.7829083949657867
2010-02-01,0,0.0,0.0,-0.7558352912337664
2010-03-01,0,0.0,0.0,-0.48557075351906137
2010-04-01,0,0.0,0.0,-0.15138246696969712
2010-05-01,0,0.0,0.0,-0.47830014618768285
2010-06-01,0,0.0,0.0,-0.19772856484848506
2010-07-01,13,0.5749658181818198,3.39341011818183,0.7525568272727268
2010-08-01,0,0.0,0.0,-0.7670016806451614
2010-09-01,0,0.044426672727276184,0.044426672727276184,-0.08869401939393953
2010-10-01,0,0.0,0.0,-0.44321976246334305
2010-11-01,0,0.0,0.0,-0.5962783393939393
2010-12-01,0,0.0,0.0,-0.6644673775171068
2011-01-01,0,0.0,0.0,-0.3914972659335285
2011-02-01,0,0.0,0.0,-0.382219719805195
2011-03-01,0,0.0,0.0,-0.17224746319648054
2011-04-01,12,1.093655568181818,5.76999357727273,0.821415033030303
2011-05-01,5,0.3063980545454541,0.4341240363636416,0.8083463699413495
2011-06-01,0,0.0,0.0,0.1124290684848487
2011-07-01,0,0.0,0.0,-0.5428573017595314
2011-08-01,0,0.0,0.0,-0.492049293548387
