driver,variable,lag,spearman_r,p_value,n
mhw_peak_intensity,Temperature,1,0.07377098468821579,0.21848001980247223,280
mhw_peak_intensity,Temperature,2,0.07701267557382666,0.19966886031417275,279
mhw_peak_intensity,Temperature,3,0.09171216654253166,0.12714089418085683,278
mhw_peak_intensity,Temperature,4,0.06378159127069714,0.2901400861436782,277
mhw_peak_intensity,Temperature,5,0.03237567957078238,0.5922595444093457,276
mhw_peak_intensity,Temperature,6,-0.010055682178817691,0.8681575362049688,275
mhw_peak_intensity,Temperature,7,-0.03874869655891554,0.52300984647125,274
mhw_peak_intensity,Temperature,8,-0.06958664993229184,0.2518472449698886,273
mhw_peak_intensity,Temperature,9,-0.05586398624167235,0.3587202531050553,272
mhw_peak_intensity,Temperature,10,-0.05026529677061477,0.4098444075556623,271
mhw_peak_intensity,Temperature,11,-0.03554476436957678,0.560880528071342,270
mhw_peak_intensity,Temperature,12,0.0014543145486939526,0.9810588287135078,269
mhw_peak_intensity,Salinity,0,0.04458187757574446,0.4566542374441769,281
mhw_peak_intensity,Salinity,1,-0.0005127616423678873,0.9931847438234356,280
mhw_peak_intensity,Salinity,2,-0.08294433577561913,0.1670929231304687,279
mhw_peak_intensity,Salinity,3,-0.06873895317192152,0.25333143978596506,278
mhw_peak_intensity,Salinity,4,-0.011380253825506536,0.8504417762128026,277
mhw_peak_intensity,Salinity,5,-0.066052710435068,0.2741460496756793,276
mhw_peak_intensity,Salinity,6,-0.06481809526557226,0.28411674606705906,275
mhw_peak_intensity,Salinity,7,-0.01660208404733952,0.7844105589001588,274
mhw_peak_intensity,Salinity,8,-0.02927611246632286,0.6300869322474689,273
mhw_peak_intensity,Salinity,9,-0.049074270639280396,0.4201782240445582,272
mhw_peak_intensity,Salinity,10,-0.0538468031739141,0.37725052102718404,271
mhw_peak_intensity,Salinity,11,-0.05211075902580586,0.3937291187132492,270
mhw_peak_intensity,Salinity,12,-0.056258977725992095,0.35801862626465,269
mhw_peak_intensity,pH,0,-0.10893844173544331,0.06823808395481283,281
mhw_peak_intensity,pH,1,-0.07795124937818083,0.19342331603221796,280
mhw_peak_intensity,pH,2,-0.08153532473560322,0.17444584245392547,279
mhw_peak_intensity,pH,3,-0.10772432479077874,0.07293258592218967,278
mhw_peak_intensity,pH,4,-0.11109919159320164,0.06483160426122875,277
mhw_peak_intensity,pH,5,-0.07866497338793682,0.19258517912242706,276
mhw_peak_intensity,pH,6,-0.049153226969793136,0.4168535465389852,275
mhw_peak_intensity,pH,7,-0.03618658713549225,0.5508735801033003,274
mhw_peak_intensity,pH,8,-0.014260589131778485,0.8145546151390164,273
mhw_peak_intensity,pH,9,0.011950281105913837,0.8444626839451286,272
mhw_peak_intensity,pH,10,0.017891252441936185,0.769377504592929,271
mhw_peak_intensity,pH,11,-0.002568241295795857,0.9664948799348153,270
mhw_peak_intensity,pH,12,-0.013255284913721355,0.8286760115140078,269
mhw_peak_intensity,EC50,0,0.07225097768576032,0.3623955328129529,161
mhw_peak_intensity,EC50,1,0.0636962272831838,0.4221292981186423,161
mhw_peak_intensity,EC50,2,-0.18760986757295206,0.017519258473307747,160
mhw_peak_intensity,EC50,3,0.04688022450441844,0.5573409218896763,159
mhw_peak_intensity,EC50,4,0.04961824512937375,0.5358367368916078,158
mhw_peak_intensity,EC50,5,0.04748851084415061,0.5547832692095118,157
mhw_peak_intensity,EC50,6,-0.044706925743771664,0.5782259959047987,157
mhw_peak_intensity,EC50,7,0.04762495426044567,0.5536452931112077,157
mhw_peak_intensity,EC50,8,-0.09529332233516705,0.23515501282046136,157
mhw_peak_intensity,EC50,9,-0.030926140697970093,0.7006087472769784,157
mhw_peak_intensity,EC50,10,-0.02144952523893103,0.7897426899900986,157
mhw_peak_intensity,EC50,11,-0.006245387282233207,0.9381224624954279,157
mhw_peak_intensity,EC50,12,0.006477961287281613,0.9358230237228282,157
mhw_days,EC50,0,0.04288877386703474,0.589055048709609,161
mhw_days,EC50,1,-0.06367897400506096,0.4222552674438421,161
mhw_days,EC50,2,-0.16764619711707487,0.0340931067974305,160
mhw_days,EC50,3,-0.01418676856938142,0.8591268128985712,159
mhw_days,EC50,4,0.05158368562687968,0.5197848363354873,158
mhw_days,EC50,5,0.07738512394643975,0.3353820042832494,157
mhw_days,EC50,6,-0.053225336302011296,0.5079380886979552,157
