Datetime,EC50_forecast,CI_lower,CI_upper,scenario,pH_proj,Temp_proj,mhw_proj
2028-04-01,22.89211486500956,9.711050716696223,36.0731790133229,mean,8.127891525597848,16.480590597158553,3.367153515327587
2028-05-01,22.36882149861686,9.156596442151484,35.58104655508224,mean,8.127891525597848,19.012046218126294,3.2234997979902253
2028-06-01,22.900408147103562,9.657022182486145,36.14379411172098,mean,8.013468538396774,23.33647052073783,2.8176800938838116
2028-07-01,23.13252135790963,9.857974485140174,36.40706823067909,mean,7.969525538396773,26.39548152073783,2.2588316075513855
2028-08-01,23.386495784874974,10.080788003953476,36.692203565796476,mean,7.9710835383967735,26.589458520737832,1.6976393549967916
2028-09-01,23.62057918351256,10.283710494439019,36.9574478725861,mean,7.995771538396773,24.90455652073783,1.2860443727568285
2028-10-01,23.7238460444509,10.35581644722532,37.09187564167648,mean,8.049900538396773,21.167383520737832,1.1364471024421974
2028-11-01,23.78268404422076,10.383493538843137,37.181874549598376,mean,8.079725538396772,18.78779852073783,1.2913599154676423
2028-12-01,23.542475626454696,10.112124212925034,36.97282703998436,mean,8.113056538396771,16.45313152073783,1.7117019523297898
2029-01-01,23.313683658249587,9.852171336567881,36.7751959799313,mean,8.126563038396771,14.99912502073783,2.2869568022174036
2029-02-01,23.118978726398915,9.62630549656517,36.61165195623266,mean,8.126563038396773,14.478422306452112,2.864555418327157
2029-03-01,22.817772200942414,9.293938062956629,36.3416063389282,mean,8.126563038396773,14.854580778802344,3.2906727333228623
2029-04-01,22.624600208034515,9.069605161896689,36.17959525417234,mean,8.126563038396773,16.530141770737828,3.4515290993255974
2029-05-01,22.311694203560236,8.725538249270366,35.89785015785011,mean,8.126563038396773,19.06159739170557,3.3041073203893943
2029-06-01,22.85143741916913,9.23412055672722,36.46875428161104,mean,8.012140051195697,23.386021694317105,2.8879930805488203
2029-07-01,23.11282210986662,9.464344339272671,36.76129988046057,mean,7.9681970511956965,26.445032694317106,2.3150819968834067
2029-08-01,23.392500479292536,9.712861800546547,37.072139158038524,mean,7.969755051195697,26.639009694317107,1.7398271469958075
2029-09-01,23.64656819268911,9.935768605791075,37.35736777958714,mean,7.994443051195696,24.954107694317106,1.3179376290216938
2029-10-01,23.778699338103245,10.03673884305317,37.52065983315332,mean,8.048572051195698,21.21693469431711,1.164572297108208
2029-11-01,23.78316027848131,10.010038875279198,37.55628168168342,mean,8.078397051195697,18.83734969431711,1.3232531717325078
2029-12-01,23.568229655508567,9.763947344154413,37.37251196686272,mean,8.111728051195696,16.50268269431711,1.7538897443288057
2030-01-01,23.320393839065666,9.484950619559472,37.15583705857186,mean,8.125234551195696,15.048676194317109,2.3432071915494106
2030-02-01,23.071870253978418,9.20526612632018,36.93847438163665,mean,8.125234551195696,14.52797348003139,2.9348684049921836
2030-03-01,22.777006596658246,8.879241560847968,36.67477163246853,mean,8.125234551195696,14.904131952381622,3.3712802557220107
2030-04-01,22.513152916618857,8.58422697265654,36.44207886058118,mean,8.125234551195696,16.579692944317106,3.535904683323629
2030-05-01,22.26559153341558,8.305504681301219,36.225678385529946,mean,8.125234551195696,19.111148565284847,3.3847148427885427
