Datetime,Salinity,period
2008-06-01,37.656067,2003–2015
2008-07-01,37.66495,2003–2015
2008-08-01,37.892212,2003–2015
2008-09-01,38.049324,2003–2015
2008-10-01,38.12798,2003–2015
2008-11-01,38.04668,2003–2015
2008-12-01,37.895668,2003–2015
2009-01-01,37.83318,2003–2015
2009-02-01,37.793247,2003–2015
2009-03-01,37.786224,2003–2015
2009-04-01,37.741966,2003–2015
2009-05-01,37.761936,2003–2015
2009-06-01,37.662956,2003–2015
2009-07-01,37.670296,2003–2015
2009-08-01,37.822445,2003–2015
2009-09-01,37.98104,2003–2015
2009-10-01,37.947014,2003–2015
2009-11-01,37.938484,2003–2015
2009-12-01,37.870354,2003–2015
2010-01-01,37.72558,2003–2015
2010-02-01,37.737644,2003–2015
2010-03-01,37.76459,2003–2015
2010-04-01,37.765217,2003–2015
2010-05-01,37.53513,2003–2015
2010-06-01,37.540657,2003–2015
2010-07-01,37.670326,2003–2015
2010-08-01,37.81281,2003–2015
2010-09-01,38.1062,2003–2015
2010-10-01,38.227386,2003–2015
2010-11-01,37.924503,2003–2015
2010-12-01,37.820976,2003–2015
2011-01-01,37.709526,2003–2015
2011-02-01,37.618828,2003–2015
2011-03-01,37.729053,2003–2015
2011-04-01,37.836052,2003–2015
2011-05-01,37.778526,2003–2015
2011-06-01,37.58618,2003–2015
2011-07-01,37.824886,2003–2015
2011-08-01,37.912834,2003–2015
2011-09-01,37.990482,2003–2015
2011-10-01,38.004128,2003–2015
2011-11-01,37.967236,2003–2015
2011-12-01,37.958813,2003–2015
2012-01-01,37.98046,2003–2015
2012-02-01,37.953125,2003–2015
2012-03-01,37.938503,2003–2015
2012-04-01,37.923218,2003–2015
2012-05-01,37.846535,2003–2015
2012-06-01,37.80987,2003–2015
2012-07-01,37.81417,2003–2015
2012-08-01,38.15287,2003–2015
2012-09-01,38.219574,2003–2015
2012-10-01,38.155838,2003–2015
2012-11-01,38.06781,2003–2015
2012-12-01,37.99155,2003–2015
2013-01-01,37.944344,2003–2015
2013-02-01,37.98047,2003–2015
2013-03-01,38.016495,2003–2015
2013-04-01,38.05237,2003–2015
2013-05-01,37.9098,2003–2015
2013-06-01,37.936558,2003–2015
2013-07-01,37.913773,2003–2015
2013-08-01,38.02981,2003–2015
2013-09-01,38.12626,2003–2015
2013-10-01,38.029045,2003–2015
2013-11-01,38.118977,2003–2015
2013-12-01,38.119118,2003–2015
2014-01-01,37.995174,2003–2015
2014-02-01,37.864204,2003–2015
2014-03-01,37.843273,2003–2015
2014-04-01,37.807198,2003–2015
2014-05-01,37.779472,2003–2015
2014-06-01,37.69155,2003–2015
2014-07-01,37.75489,2003–2015
2014-08-01,37.822083,2003–2015
2014-09-01,37.93781,2003–2015
2014-10-01,38.015266,2003–2015
2014-11-01,37.988346,2003–2015
2014-12-01,37.954063,2003–2015
2015-01-01,38.189236,2003–2015
2015-02-01,38.142776,2003–2015
2015-03-01,37.402664,2003–2015
2015-04-01,37.400513,2003–2015
2015-05-01,37.59292,2003–2015
2015-06-01,37.548065,2003–2015
2015-07-01,37.61989,2003–2015
2015-08-01,38.022514,2003–2015
2015-09-01,38.148323,2003–2015
2015-10-01,38.127068,2003–2015
2015-11-01,38.134014,2003–2015
2015-12-01,38.185593,2003–2015
2016-01-01,38.127106,2016–2025
2016-02-01,38.094715,2016–2025
2016-03-01,38.043365,2016–2025
2016-04-01,38.07612,2016–2025
2016-05-01,37.95443,2016–2025
2016-06-01,37.841022,2016–2025
2016-07-01,38.014034,2016–2025
2016-08-01,38.100075,2016–2025
2016-09-01,38.076828,2016–2025
2016-10-01,38.12478,2016–2025
2016-11-01,38.19731,2016–2025
2016-12-01,38.251728,2016–2025
2017-01-01,38.193523,2016–2025
2017-02-01,38.23916,2016–2025
2017-03-01,38.227444,2016–2025
2017-04-01,38.235664,2016–2025
2017-05-01,38.157883,2016–2025
2017-06-01,38.169983,2016–2025
2017-07-01,38.302486,2016–2025
2017-08-01,38.37082,2016–2025
2017-09-01,38.21051,2016–2025
2017-10-01,38.184254,2016–2025
2017-11-01,38.14914,2016–2025
2017-12-01,38.253113,2016–2025
2018-01-01,38.26156,2016–2025
2018-02-01,38.17131,2016–2025
2018-03-01,38.136303,2016–2025
2018-04-01,38.10257,2016–2025
2018-05-01,38.010365,2016–2025
2018-06-01,37.793564,2016–2025
2018-07-01,37.93113,2016–2025
2018-08-01,38.13013,2016–2025
2018-09-01,38.170944,2016–2025
2018-10-01,38.210346,2016–2025
2018-11-01,38.117733,2016–2025
2018-12-01,38.116753,2016–2025
2019-01-01,38.088863,2016–2025
2019-02-01,38.030697,2016–2025
2019-03-01,38.025043,2016–2025
2019-04-01,37.96835,2016–2025
2019-05-01,37.926834,2016–2025
2019-06-01,37.92409,2016–2025
2019-07-01,37.919815,2016–2025
2019-08-01,37.892506,2016–2025
2019-09-01,37.97244,2016–2025
2019-10-01,38.047028,2016–2025
2019-11-01,37.95359,2016–2025
2019-12-01,37.92553,2016–2025
2020-01-01,37.98316,2016–2025
2020-02-01,37.96484,2016–2025
2020-03-01,38.00438,2016–2025
2020-04-01,37.989613,2016–2025
2020-05-01,38.044586,2016–2025
2020-06-01,37.973907,2016–2025
2020-07-01,37.881535,2016–2025
2020-08-01,38.019573,2016–2025
2020-09-01,38.046036,2016–2025
2020-10-01,37.97332,2016–2025
2020-11-01,37.95936,2016–2025
2020-12-01,37.91962,2016–2025
2021-01-01,37.58922,2016–2025
2021-02-01,37.611313,2016–2025
2021-03-01,37.830536,2016–2025
2021-04-01,38.010254,2016–2025
2021-05-01,37.98503,2016–2025
2021-06-01,38.03489,2016–2025
2021-08-01,38.132553,2016–2025
2021-09-01,38.1874,2016–2025
2021-10-01,38.126755,2016–2025
2021-11-01,38.16513,2016–2025
2021-12-01,38.104263,2016–2025
2022-01-01,38.054173,2016–2025
2022-02-01,38.005478,2016–2025
2022-03-01,38.05516,2016–2025
2022-04-01,38.115654,2016–2025
2022-05-01,38.112698,2016–2025
2022-06-01,38.125507,2016–2025
2022-07-01,38.12309,2016–2025
2022-08-01,38.14038,2016–2025
2022-09-01,38.15696,2016–2025
2022-10-01,38.21236,2016–2025
2022-11-01,38.188416,2016–2025
2022-12-01,38.05417,2016–2025
2023-01-01,37.978725,2016–2025
2023-02-01,38.00603,2016–2025
2023-03-01,38.06831,2016–2025
2023-04-01,38.063988,2016–2025
2023-05-01,37.96984,2016–2025
2023-06-01,37.89546,2016–2025
2023-07-01,37.956333,2016–2025
2023-08-01,38.038074,2016–2025
2023-09-01,38.103706,2016–2025
2023-10-01,38.169476,2016–2025
2023-11-01,38.139187,2016–2025
2023-12-01,38.24094,2016–2025
2024-01-01,38.170597,2016–2025
2024-02-01,38.079872,2016–2025
2024-03-01,38.035027,2016–2025
2024-04-01,38.081467,2016–2025
2024-05-01,38.005337,2016–2025
2024-06-01,38.13735,2016–2025
2024-07-01,38.16487,2016–2025
2024-08-01,38.235657,2016–2025
2024-09-01,38.183887,2016–2025
2024-10-01,38.05873,2016–2025
2024-11-01,38.02762,2016–2025
2024-12-01,38.110477,2016–2025
2025-01-01,38.177082,2016–2025
2025-02-01,38.105812,2016–2025
2025-03-01,38.07566,2016–2025
2025-04-01,38.016827,2016–2025
2025-05-01,38.013077,2016–2025
2025-06-01,38.00427,2016–2025
2025-07-01,38.005707,2016–2025
2025-08-01,37.95109,2016–2025
2025-09-01,37.955208,2016–2025
2025-10-01,38.04433,2016–2025
2025-11-01,38.048332,2016–2025
2025-12-01,37.99213,2016–2025
