Datetime,EC50,dose_18C_12m,dose_18C_24m,dose_18C_36m,dose_20C_12m,dose_20C_24m,dose_20C_36m
2016-09-01,29.67,735.526116,877.3228425,853.7340273333333,419.278064,539.7323865000001,515.085345
2016-10-01,33.69,737.304191,874.254389,856.3558776666665,421.05613900000003,536.6639329999999,517.7071953333334
2016-11-01,32.89,775.3192389999999,861.0463709999999,859.0035466666666,448.577543,523.455915,520.3548643333334
2016-12-01,33.685,782.727905,852.6217125000001,855.1987519999999,448.6380899999999,523.4770275000001,519.66492
2017-01-01,32.36,782.727905,851.9118785,855.1987519999999,448.63809000000003,523.4770275,519.66492
2017-02-01,31.01,782.727905,851.9118785000001,855.198752,448.6380899999999,523.4770275000001,519.66492
2017-03-01,32.185,782.727905,851.9118785,855.1987519999999,448.63809000000003,523.4770275,519.66492
2017-04-01,31.66,782.727905,851.9118785,855.1987519999999,448.6380899999999,523.4770275,519.66492
2017-05-01,29.89,782.727905,851.9118785,855.1987519999999,448.6380899999999,523.4770275,519.66492
2017-06-01,28.45,797.484287,856.4082825,860.7323603333332,453.84958800000004,526.0289265,521.402086
2017-09-01,29.685,982.2981320000001,858.912124,912.3146056666665,637.7874719999999,528.5327679999999,572.4174150000001
2017-10-01,29.025,965.5894070000002,851.446799,904.699395,621.078747,521.067443,564.8022043333334
2017-11-01,30.855,946.4071379999998,860.8631885,889.4999600000001,604.172699,526.375121,550.3615096666667
2017-12-01,31.31,937.8165239999998,860.2722145,881.0199829999999,604.112152,526.3751209999999,550.3554023333334
2018-02-01,26.775,937.816524,860.2722145,880.5467603333334,604.1121519999999,526.3751209999999,550.3554023333332
2018-03-01,27.4,937.816524,860.2722145,880.5467603333334,604.1121519999999,526.375121,550.3554023333334
2018-04-01,28.31,937.8165240000001,860.2722145,880.5467603333334,604.1121519999999,526.3751209999999,550.3554023333334
2018-05-01,27.663333333333338,938.6162370000002,860.672071,880.8133313333335,604.1121519999999,526.3751209999999,550.3554023333334
2018-06-01,25.42,947.9883339999999,872.7363105,886.9349663333333,607.183337,530.5164625,553.0803966666666
2018-09-01,27.22,931.021418,956.6597750000001,882.9485553333334,590.216421,614.0019465,549.0939856666665
2018-10-01,27.73,980.4982150000001,973.043811,894.4639376666668,639.6932179999999,630.3859825,560.6093679999999
2018-11-01,27.265,1007.8330289999997,977.1200835,909.8531353333335,664.751811,634.4622549999999,572.5006843333332
2018-12-01,27.905,1029.667211,983.7418674999999,916.7372133333333,664.8901050000001,634.5011285,572.5467823333333
2019-02-01,18.65,1029.667211,983.7418674999999,916.7372133333331,664.890105,634.5011284999999,572.5467823333333
2019-03-01,27.886666666666667,1029.667211,983.7418674999999,916.7372133333333,664.890105,634.5011284999999,572.5467823333333
2019-04-01,25.55,1029.667211,983.7418675000001,916.7372133333333,664.8901050000001,634.5011284999998,572.5467823333333
2019-06-01,24.18,994.302545,971.1454395000001,913.2583886666667,656.607422,631.8953795,572.5467823333333
2019-09-01,25.365,1011.498341,971.2598794999999,974.9392969999999,677.991972,634.1041965,635.331955
2019-10-01,25.825,988.4931919999998,984.4957035,978.1936046666667,654.9868229999998,647.3400204999999,638.5862626666667
2019-11-01,25.885,992.8307500000001,1000.3318894999998,982.3569723333334,659.324381,662.038096,642.7496303333334
2019-12-01,25.130000000000003,990.145381,1009.9062960000001,985.876372,661.084432,662.9872685,643.3622296666667
2020-01-01,26.0,990.1453809999999,1009.9062960000001,985.876372,661.084432,662.9872685,643.3622296666666
2020-02-01,26.4,990.1453809999999,1009.9062959999999,985.876372,661.0844319999999,662.9872685,643.3622296666666
2020-03-01,26.79,990.145381,1009.9062959999999,985.876372,661.084432,662.9872685,643.3622296666666
2020-04-01,24.35,990.1453809999999,1009.9062959999999,985.876372,661.0844319999999,662.9872685,643.3622296666667
2020-05-01,22.615,990.145381,1009.5064395000002,985.876372,661.084432,662.9872684999999,643.3622296666666
2020-06-01,22.06,1016.079231,1005.190888,986.12337,663.376549,659.9919854999999,642.3891026666666
2020-09-01,22.67,949.7838380000001,980.6410894999999,964.1011990000001,592.892402,635.442187,620.3669316666667
2020-10-01,21.83,970.9352190000002,979.7142054999999,979.9755419999999,614.0437830000002,634.5153030000001,636.2412746666666
2020-11-01,20.61,933.288658,963.059704,977.9841456666667,583.1230019999999,621.2236914999999,635.7330646666667
2020-12-01,23.65,920.611155,955.378268,980.141249,581.224657,621.1545445,635.7330646666666
2021-01-01,28.62,920.6111550000002,955.3782679999999,980.141249,581.224657,621.1545444999999,635.7330646666667
2021-02-01,21.635,920.611155,955.3782679999999,980.141249,581.2246570000001,621.1545444999999,635.7330646666667
2021-03-01,29.31,920.611155,955.378268,980.141249,581.224657,621.1545444999999,635.7330646666667
2021-05-01,25.595,920.611155,955.378268,979.8746779999999,581.224657,621.1545444999999,635.7330646666666
2021-10-01,35.28,878.9873250000003,924.9612720000002,946.1385786666667,560.92306,587.4834215000001,609.9845553333333
2021-11-01,27.52,885.1085039999999,909.1985810000001,937.0759706666668,566.356167,574.7395844999999,602.9345166666667
2022-03-01,20.18,876.6542590000001,898.632707,929.1369316666666,566.3561669999999,573.7904120000001,602.8884186666667
2022-04-01,28.1,876.6542590000001,898.632707,929.1369316666667,566.356167,573.7904120000001,602.8884186666666
2022-10-01,19.433333333333334,1108.257247,993.6222860000003,986.0599303333333,769.243855,665.0834575000001,648.0702326666666
2023-03-01,17.3,1191.594395,1034.124327,996.2866029999998,811.434839,688.895503,653.005221
2023-05-01,30.82,1191.594395,1034.124327,996.286603,811.434839,688.895503,653.005221
2023-12-01,11.71,1122.3719480000002,1156.9831715,1063.5402006666668,765.548537,788.491688,714.4465143333333
2024-02-01,19.715,1122.371948,1156.9831715,1063.5402006666668,765.548537,788.4916880000001,714.4465143333333
2024-04-01,21.02,1122.371948,1156.9831715,1063.5402006666668,765.548537,788.4916880000001,714.4465143333333
2024-10-01,24.54,1122.98469,1117.162396,1114.194013,750.680124,748.5663615000001,755.4588593333333
2024-11-01,28.05,1079.4773829999997,1107.2331179999999,1120.9714733333335,707.1728170000001,738.6370834999999,760.2237503333333
2025-01-01,25.53,1079.641735,1101.0068415,1131.2026926666667,707.833956,736.6912465,761.6057773333332
2025-02-01,48.75,1079.641735,1101.0068415,1131.2026926666667,707.833956,736.6912465,761.6057773333334
2025-03-01,29.57,1079.641735,1101.0068415,1131.2026926666665,707.833956,736.6912465,761.6057773333332
2025-04-01,31.88,1079.641735,1101.0068415,1131.2026926666667,707.833956,736.6912465,761.6057773333334
2025-05-01,24.48,1079.909603,1101.1407755,1131.291982,707.833956,736.6912465,761.6057773333332
2025-10-01,14.37,1098.640905,1110.8127974999998,1110.9885656666665,722.1970689999999,736.4385964999999,739.7765973333334
2025-11-01,20.75,1088.9821799999997,1084.2297814999997,1101.149472,714.206307,710.689562,730.4934913333334
2025-12-01,17.895,1074.3755580000002,1077.0086465,1092.129747,710.0602260000001,708.947091,727.8142396666667
2026-03-01,23.175,1074.375558,1077.0086465,1092.129747,710.0602260000001,708.947091,727.8142396666667
2026-04-01,31.03,1074.375558,1077.0086465,1092.129747,710.060226,708.947091,727.8142396666666
2026-05-01,23.79,1074.16766,1077.0386315,1092.149737,710.0602260000001,708.947091,727.8142396666666
