driver,variable,lag,spearman_r,p_value,n
mhw_peak_intensity,pH,8,-0.018737670356573,0.7562005122918725,277
mhw_peak_intensity,pH,9,-0.024195431001269963,0.6890099593978068,276
mhw_peak_intensity,pH,10,-0.037388419260840716,0.5369652906295391,275
mhw_peak_intensity,pH,11,-0.05145307247497029,0.3962328781031119,274
mhw_peak_intensity,pH,12,-0.06633040639051802,0.2747748086844769,273
mhw_peak_intensity,EC50,0,0.04768952430182416,0.5442506593803031,164
mhw_peak_intensity,EC50,1,-0.06456817161590465,0.4114133316762245,164
mhw_peak_intensity,EC50,2,-0.09201345592188029,0.24273077868170534,163
mhw_peak_intensity,EC50,3,-0.0740275008079756,0.3491674185190795,162
mhw_peak_intensity,EC50,4,0.018665171382562688,0.8142013058575587,161
mhw_peak_intensity,EC50,5,-0.017482128208133132,0.8263257771979516,160
mhw_peak_intensity,EC50,6,-0.0563371616078753,0.4792000185211006,160
mhw_peak_intensity,EC50,7,-0.01165768194070081,0.8836781800549964,160
mhw_peak_intensity,EC50,8,-0.04123403257939764,0.6046643969632028,160
mhw_peak_intensity,EC50,9,0.0018252666119770303,0.9817244638621967,160
mhw_peak_intensity,EC50,10,0.016620766436188913,0.8347574624164835,160
mhw_peak_intensity,EC50,11,-0.02317180358607758,0.7711709171218368,160
mhw_peak_intensity,EC50,12,-0.010893003632954413,0.8912596195658146,160
mhw_days,EC50,0,0.049621155441894625,0.5280475861269175,164
mhw_days,EC50,1,-0.08629222042359853,0.2719086134468389,164
mhw_days,EC50,2,-0.09930669858845827,0.20722751808396705,163
mhw_days,EC50,3,-0.10001256066873564,0.20541562766882085,162
mhw_days,EC50,4,0.01120600414078675,0.8878029751396475,161
mhw_days,EC50,5,-0.00534102894644322,0.9465577976891901,160
mhw_days,EC50,6,-0.047799718739013244,0.5483553068721623,160
mhw_days,EC50,7,-0.0026544005625219733,0.9734253017512292,160
mhw_days,EC50,8,-0.035951599671862185,0.6517473274311874,160
mhw_days,EC50,9,-0.12963787647954997,0.10229061404081698,160
mhw_days,EC50,10,0.03042013359896871,0.7025659376677968,160
mhw_days,EC50,11,-0.028296027188562053,0.7224514749768027,160
mhw_days,EC50,12,-0.03197292863002461,0.6881545498607954,160
mhw_cum_intensity,EC50,0,0.11309292234026633,0.1493451763909276,164
mhw_cum_intensity,EC50,1,0.02338906043828982,0.7662559752117857,164
mhw_cum_intensity,EC50,2,-0.0076784101174345075,0.9225053333483931,163
mhw_cum_intensity,EC50,3,-0.017631509496006694,0.8237752023191911,162
mhw_cum_intensity,EC50,4,0.06670692431561999,0.4004836211380324,161
mhw_cum_intensity,EC50,5,0.01734442751669987,0.8276723948487934,160
